,Date,Price (Dollars per Million Btu)
244,1999-09-01,2.55
245,1999-08-01,2.8
246,1999-07-01,2.31
247,1999-06-01,2.3
248,1999-05-01,2.26
249,1999-04-01,2.15
250,1999-03-01,1.79
251,1999-02-01,1.77
252,1999-01-01,1.85
253,1998-12-01,1.72
254,1998-11-01,2.12
255,1998-10-01,1.91
256,1998-09-01,2.02
257,1998-08-01,1.85
258,1998-07-01,2.17
259,1998-06-01,2.17
260,1998-05-01,2.14
261,1998-04-01,2.43
262,1998-03-01,2.24
263,1998-02-01,2.23
264,1998-01-01,2.09
265,1997-12-01,2.35
266,1997-11-01,3.01
267,1997-10-01,3.07
268,1997-09-01,2.88
269,1997-08-01,2.49
270,1997-07-01,2.19
271,1997-06-01,2.2
272,1997-05-01,2.25
273,1997-04-01,2.03
274,1997-03-01,1.89
275,1997-02-01,2.15
276,1997-01-01,3.45
